name,pos,team,opp,salary,proj_points
Arizona Cardinals,DST,ARI,UNK,2500.0,4.415395029010771
Atlanta Falcons,DST,ATL,UNK,2500.0,6.010053086968932
Baltimore Ravens,DST,BAL,UNK,2500.0,7.481949797062491
Buffalo Bills,DST,BUF,UNK,2500.0,8.298712584505605
Carolina Panthers,DST,CAR,UNK,2500.0,4.646723676921598
Chicago Bears,DST,CHI,UNK,2500.0,6.0219866408349025
Cincinnati Bengals,DST,CIN,UNK,2500.0,5.205557712842765
Cleveland Browns,DST,CLE,UNK,2500.0,8.739819217736034
Dallas Cowboys,DST,DAL,UNK,2500.0,5.728364329046386
Denver Broncos,DST,DEN,UNK,2500.0,6.528138846296204
Detroit Lions,DST,DET,UNK,2500.0,8.791265801530116
Green Bay Packers,DST,GB,UNK,2500.0,6.606707263190348
Houston Texans,DST,HOU,UNK,2500.0,8.800198545054947
Indianapolis Colts,DST,IND,UNK,2500.0,5.440443787912664
Jacksonville Jaguars,DST,JAX,UNK,2500.0,5.795050160502705
Kansas City Chiefs,DST,KC,UNK,2500.0,7.157806010745418
Los Angeles Chargers,DST,LAC,UNK,2500.0,7.465084884229945
Los Angeles Rams,DST,LAR,UNK,2500.0,5.54204246374547
Las Vegas Raiders,DST,LV,UNK,2500.0,4.124610417774043
Miami Dolphins,DST,MIA,UNK,2500.0,5.927748359968402
Minnesota Vikings,DST,MIN,UNK,2500.0,5.562396699034876
New England Patriots,DST,NE,UNK,2500.0,7.487031317927708
New Orleans Saints,DST,NO,UNK,2500.0,7.9451212974373
New York Giants,DST,NYG,UNK,2500.0,6.859245671082578
New York Jets,DST,NYJ,UNK,2500.0,7.2263354100790185
Philadelphia Eagles,DST,PHI,UNK,2500.0,5.797940774750331
Pittsburgh Steelers,DST,PIT,UNK,2500.0,9.665711110874208
Seattle Seahawks,DST,SEA,UNK,2500.0,6.600552659798867
San Francisco 49ers,DST,SF,UNK,2500.0,8.376559666282855
Tampa Bay Buccaneers,DST,TB,UNK,2500.0,8.79652987552239
Tennessee Titans,DST,TEN,UNK,2500.0,4.701787213544638
Washington Commanders,DST,WAS,UNK,2500.0,4.326730775812567
