proj_name,pos,team,last,candidates
J Allen,QB,BUF,allen,Brandon Allen; Kyle Allen
T Johnson,RB,BUF,johnson,Amar Johnson; Kaleb Johnson
D Johnson,RB,JAX,johnson,Amar Johnson; Kaleb Johnson
P Taylor,RB,SF,taylor,J.J. Taylor; Jonathan Taylor
R Johnson,RB,CHI,johnson,Amar Johnson; Kaleb Johnson
A Robinson,WR,DET,robinson,Demarcus Robinson; Wan'Dale Robinson
A Miller,WR,BAL,miller,Dymere Miller; Ryan Miller; Scotty Miller
C Wilson,WR,NO,wilson,Garrett Wilson; Michael Wilson; Ontaria Wilson; Roman Wilson
M Brown,WR,KC,brown,Dyami Brown; Noah Brown
A Brown,WR,PHI,brown,Dyami Brown; Noah Brown
G Davis,WR,JAX,davis,Joaquin Davis; Kaden Davis
D Smith,WR,PHI,smith,Arian Smith; Brandon Smith; Xavier Smith
E Moore,WR,CLE,moore,Chris Moore; David Moore; Jordan Moore
J Palmer,WR,LAC,palmer,Tejhaun Palmer; Trey Palmer
D Davis,WR,LAC,davis,Joaquin Davis; Kaden Davis
J Wilson,WR,PHI,wilson,Garrett Wilson; Michael Wilson; Ontaria Wilson; Roman Wilson
